graph_id,model_name,candidate_id,host_face_id,local_wire_index,hostFaceArea,hostFaceRelativeArea,hostFacePerimeter,hostInnerWireCount,hostNeighborFaceCount,wireLength,wireLengthRatio,estimatedHoleRadius,estimatedHoleArea,wireCenterX,wireCenterY,wireCenterZ,adjacentFaceCount,adjacentCylinderCount,adjacentSmallCylinderCount,minAdjacentCylinderRadius,maxAdjacentCylinderRadius,concaveEdgeRatio,label
0,"82.step",64,166,1,437.569,0.000315662,137.33,4,5,12.528,0.091226,1.9939,12.4898,-9.41009e-15,-88.8985,170.883,5,5,3,1.9939,12.7,0.2,1
0,"82.step",65,166,2,437.569,0.000315662,137.33,4,5,12.528,0.091226,1.9939,12.4898,5.99054,-88.8985,181.259,5,5,3,1.9939,12.7,0.2,1
0,"82.step",66,166,3,437.569,0.000315662,137.33,4,5,12.528,0.091226,1.9939,12.4898,-5.99054,-88.8985,181.259,5,5,3,1.9939,12.7,0.2,1
0,"82.step",67,168,0,1135.02,0.000818807,223.43,1,2,79.7965,0.357143,12.7,506.707,5.59482e-16,-103.313,177.8,2,2,0,12.7,22.86,0.5,0
0,"82.step",68,170,0,1181.34,0.000852218,265.563,5,6,71.8168,0.270433,11.43,410.433,4.66235e-16,-113.981,177.8,6,6,4,1.9939,22.86,0,0
0,"82.step",69,170,1,1181.34,0.000852218,265.563,5,6,12.528,0.0471755,1.9939,12.4898,9.13168e-15,-113.981,195.58,6,6,4,1.9939,22.86,0,1
0,"82.step",70,170,2,1181.34,0.000852218,265.563,5,6,12.528,0.0471755,1.9939,12.4898,-17.78,-113.981,177.8,6,6,4,1.9939,22.86,0,1
0,"82.step",71,170,4,1181.34,0.000852218,265.563,5,6,12.528,0.0471755,1.9939,12.4898,17.78,-113.981,177.8,6,6,4,1.9939,22.86,0,1
0,"82.step",72,188,0,1893.01,0.00136562,473.193,1,2,211.461,0.44688,33.655,3558.35,-1.613e-13,-122.236,177.8,2,2,0,33.655,41.656,0,0
0,"82.step",73,191,0,220.541,0.000159098,83.1878,1,2,24.9364,0.29976,3.96875,49.4832,-5.59482e-17,-106.361,177.8,2,2,0,3.96875,9.271,0,0
0,"82.step",74,193,0,2700.5,0.00194814,447.658,1,2,185.926,0.41533,29.591,2750.86,1.39751e-13,-106.361,177.8,2,2,0,29.591,41.656,0,0
0,"82.step",75,196,0,719.152,0.000518796,505.59,1,2,243.858,0.482323,38.8112,4732.21,7.32307e-16,-107.948,177.8,2,2,0,38.8112,41.656,0.5,0
0,"82.step",76,198,0,719.152,0.000518796,505.59,1,2,243.858,0.482323,38.8112,4732.21,7.32307e-16,-120.648,177.8,2,2,0,38.8112,41.656,0.5,0
0,"82.step",77,199,0,338.465,0.000244168,94.7583,1,2,24.9364,0.263158,3.96875,49.4832,-5.59482e-17,-128.586,177.8,2,2,0,3.96875,11.1125,0,0
0,"82.step",78,202,0,3088.52,0.00222806,345.439,5,6,69.8219,0.202125,11.1125,387.948,-1.59852e-16,-115.505,177.8,6,6,0,2.5527,33.655,0.333333,0
0,"82.step",79,202,1,3088.52,0.00222806,345.439,5,6,16.0391,0.046431,2.5527,20.4715,-17.78,-115.505,177.8,6,6,0,2.5527,33.655,0.333333,1
0,"82.step",80,202,2,3088.52,0.00222806,345.439,5,6,16.0391,0.046431,2.5527,20.4715,1.20908e-14,-115.505,195.58,6,6,0,2.5527,33.655,0.333333,1
0,"82.step",81,202,3,3088.52,0.00222806,345.439,5,6,16.0391,0.046431,2.5527,20.4715,17.78,-115.505,177.8,6,6,0,2.5527,33.655,0.333333,1
